5000    601    601 601    588 595 598 600  603 605 609 616    569 633    40 6
5000    701    701 701    685 693 697 699  703 706 710 718    669 743    54 7
5000    801    801 801    783 792 797 799  803 806 811 820    761 845    69 8
5000    901    901 901    881 891 896 899  904 907 912 922    857 946    86 9
5000    1001    1001 1001    978 990 995 998  1005 1007 1013 1025    951 1053    107 10
5000    1101    1101 1101    1076 1089 1095 1098  1104 1108 1114 1128    1044 1154    130 11
5000    1201    1201 1201    1174 1187 1194 1198  1205 1209 1216 1230    1144 1265    156 12
5000    1301    1301 1301    1272 1286 1294 1298  1305 1309 1317 1333    1235 1375    182 13
5000    1401    1401 1402    1370 1385 1394 1397  1405 1409 1418 1435    1324 1480    211 14
5000    1501    1501 1502    1467 1484 1493 1497  1506 1510 1520 1537    1410 1595    243 15
5000    1601    1601 1602    1565 1583 1592 1597  1606 1611 1621 1640    1500 1702    278 16
5000    1701    1701 1702    1662 1682 1692 1697  1707 1712 1722 1741    1583 1804    305 17
5000    1801    1801 1801    1760 1780 1791 1796  1807 1813 1824 1844    1704 1904    343 18
5000    1901    1901 1902    1857 1879 1890 1896  1907 1913 1925 1946    1799 2015    385 19
5000    2001    2001 2002    1955 1977 1990 1996  2008 2014 2026 2048    1882 2125    419 20
5000    2101    2101 2102    2053 2076 2089 2096  2108 2114 2127 2150    1973 2219    465 21
5000    2201    2201 2202    2151 2175 2189 2196  2208 2215 2229 2255    2063 2326    521 22
5000    2301    2302 2302    2248 2274 2288 2295  2309 2315 2330 2356    2165 2438    547 23
5000    2401    2402 2402    2346 2373 2388 2395  2409 2416 2431 2459    2254 2540    600 24
5000    2501    2502 2502    2444 2472 2487 2495  2509 2517 2532 2562    2358 2646    659 25
5000    2601    2602 2602    2542 2571 2587 2595  2609 2618 2633 2663    2462 2767    712 26
5000    2701    2702 2702    2639 2670 2686 2695  2710 2718 2734 2766    2564 2876    763 27
5000    2801    2802 2802    2738 2768 2785 2794  2810 2819 2836 2868    2657 2964    822 28
5000    2901    2902 2902    2835 2867 2885 2894  2910 2919 2937 2971    2735 3056    875 29
5000    3001    3002 3002    2933 2966 2984 2993  3010 3019 3038 3075    2828 3162    951 30
5000    3101    3102 3102    3031 3065 3084 3093  3110 3120 3139 3177    2922 3259    1020 31
5000    3201    3202 3201    3128 3163 3183 3192  3211 3221 3240 3279    3036 3373    1070 32
5000    3301    3302 3301    3226 3262 3282 3292  3311 3321 3341 3380    3138 3487    1133 33
5000    3401    3402 3401    3324 3362 3382 3392  3411 3422 3443 3482    3219 3607    1195 34
5000    3501    3502 3502    3421 3461 3482 3491  3512 3523 3543 3585    3326 3698    1269 35
5000    3601    3601 3602    3518 3559 3581 3591  3612 3622 3644 3688    3416 3797    1376 37
5000    3701    3701 3701    3615 3659 3680 3691  3712 3723 3745 3791    3497 3913    1443 37
5000    3801    3801 3801    3714 3756 3779 3791  3813 3824 3846 3892    3596 4026    1503 38
5000    3901    3902 3902    3811 3856 3879 3891  3913 3925 3948 3993    3678 4122    1537 39
