1000    3401    3401 3400    3226 3310 3355 3378  3422 3444 3491 3582    3039 3900    6014 77
1000    3501    3501 3500    3322 3407 3454 3477  3522 3544 3594 3689    3132 4033    6404 80
1000    3601    3601 3599    3418 3504 3552 3576  3622 3645 3697 3796    3230 4130    6868 82
1000    3701    3701 3699    3511 3603 3651 3676  3722 3747 3800 3901    3315 4261    7219 84
1000    3801    3801 3799    3606 3701 3750 3773  3823 3849 3902 4004    3403 4395    7636 87
1000    3901    3901 3899    3702 3798 3848 3874  3924 3951 4004 4112    3479 4434    8009 89
1000    4001    4001 3999    3798 3895 3948 3974  4024 4053 4109 4215    3585 4478    8481 92
1000    4101    4102 4100    3890 3995 4046 4073  4126 4154 4209 4320    3654 4581    8752 93
1000    4201    4201 4199    3985 4090 4146 4173  4226 4254 4312 4427    3722 4711    9317 96
1000    4301    4302 4299    4082 4188 4244 4272  4327 4357 4416 4529    3811 4827    9697 98
1000    4401    4402 4399    4177 4284 4345 4372  4426 4457 4519 4639    3897 4914    10146 100
1000    4501    4502 4498    4273 4382 4442 4470  4527 4558 4621 4741    4004 5047    10556 102
1000    4601    4602 4599    4367 4480 4540 4570  4627 4660 4724 4846    4106 5146    10997 104
1000    4701    4701 4698    4463 4575 4637 4669  4729 4761 4825 4952    4175 5308    11601 107
1000    4801    4802 4799    4558 4673 4735 4767  4829 4861 4930 5057    4234 5419    12025 109
1000    4901    4901 4898    4654 4770 4833 4867  4928 4962 5033 5164    4356 5508    12715 112
1000    5001    5002 4998    4746 4867 4933 4966  5031 5065 5135 5267    4477 5649    13116 114
1000    5101    5102 5099    4844 4963 5032 5064  5131 5165 5238 5374    4554 5750    13684 116
1000    5201    5202 5198    4941 5062 5129 5164  5231 5267 5340 5478    4622 5827    14228 119
1000    5301    5302 5299    5038 5158 5228 5264  5332 5369 5445 5584    4716 5941    14857 121
1000    5401    5402 5397    5131 5256 5326 5362  5432 5469 5547 5689    4823 6068    15380 124
1000    5501    5501 5496    5226 5352 5424 5462  5532 5571 5649 5794    4879 6184    16090 126
1000    5601    5601 5597    5324 5448 5523 5561  5634 5673 5752 5899    4938 6264    16639 128
1000    5701    5702 5697    5417 5548 5622 5659  5736 5776 5854 6003    5065 6393    16903 130
1000    5801    5801 5797    5510 5645 5720 5758  5835 5874 5955 6109    5122 6542    17522 132
1000    5901    5901 5896    5602 5743 5820 5858  5937 5976 6058 6212    5195 6622    18159 134
1000    6001    6001 5996    5696 5840 5918 5957  6035 6075 6161 6320    5246 6816    18736 136
1000    6101    6101 6098    5790 5940 6018 6057  6135 6178 6263 6425    5305 6930    19359 139
1000    6201    6200 6196    5884 6034 6118 6156  6236 6279 6365 6533    5452 6986    20071 141
1000    6301    6300 6295    5981 6133 6213 6254  6336 6378 6470 6633    5556 7102    20687 143
1000    6401    6400 6394    6073 6229 6314 6356  6436 6481 6572 6736    5650 7237    21279 145
1000    6501    6500 6494    6170 6328 6413 6456  6537 6580 6673 6844    5722 7316    21861 147
1000    6601    6600 6596    6266 6425 6512 6553  6636 6682 6775 6953    5821 7403    22472 149
1000    6701    6700 6695    6360 6522 6610 6653  6737 6783 6880 7057    5891 7488    23223 152
1000    6801    6800 6795    6457 6620 6708 6751  6837 6882 6981 7163    5930 7585    23962 154
1000    6901    6900 6893    6552 6718 6805 6852  6938 6985 7085 7270    6053 7750    24607 156
1000    7001    7000 6993    6649 6814 6905 6950  7040 7086 7186 7379    6119 7842    25375 159
1000    7101    7099 7093    6741 6913 7004 7046  7139 7187 7288 7484    6190 7970    26412 162
1000    7201    7199 7193    6831 7008 7101 7146  7238 7289 7389 7586    6303 8123    27101 164
1000    7301    7299 7291    6933 7103 7200 7247  7341 7389 7495 7693    6426 8236    28183 167
1000    7401    7400 7393    7030 7202 7296 7345  7443 7490 7597 7802    6505 8341    28818 169
1000    7501    7500 7495    7124 7299 7395 7446  7542 7592 7701 7908    6544 8548    29512 171
1000    7601    7600 7595    7218 7399 7495 7545  7642 7694 7800 8008    6667 8709    30195 173
1000    7701    7700 7691    7313 7495 7594 7647  7744 7797 7905 8110    6753 8755    30943 175
1000    7801    7799 7792    7411 7590 7694 7745  7842 7895 8008 8213    6801 8872    31732 178
1000    7901    7900 7893    7503 7687 7793 7843  7943 7998 8109 8320    6880 8974    32370 179
1000    8001    8000 7992    7596 7784 7890 7942  8044 8100 8212 8426    6958 9078    33393 182
1000    8101    8100 8092    7693 7882 7990 8041  8146 8199 8316 8535    7024 9180    34341 185
1000    8201    8201 8194    7787 7979 8085 8142  8247 8301 8420 8645    7109 9276    35218 187
1000    8301    8300 8294    7887 8081 8185 8239  8346 8401 8523 8748    7220 9372    36140 190
1000    8401    8400 8392    7985 8177 8283 8337  8444 8502 8624 8850    7302 9483    36896 192
1000    8501    8500 8491    8075 8276 8382 8438  8545 8607 8725 8960    7416 9582    37841 194
1000    8601    8600 8591    8166 8371 8482 8535  8649 8706 8830 9063    7471 9697    38648 196
1000    8701    8700 8691    8264 8469 8580 8635  8749 8806 8930 9166    7569 9834    39538 198
1000    8801    8800 8791    8358 8565 8678 8734  8848 8908 9036 9270    7708 9935    40564 201
1000    8901    8900 8891    8457 8664 8778 8833  8948 9010 9138 9381    7753 10069    41362 203
1000    9001    9000 8990    8547 8763 8876 8933  9049 9111 9243 9483    7890 10100    42428 205
1000    9101    9100 9089    8643 8861 8974 9031  9153 9214 9345 9590    8036 10203    43384 208
1000    9201    9201 9188    8735 8959 9074 9131  9252 9315 9448 9696    8126 10298    44093 209
1000    9301    9301 9291    8827 9054 9171 9229  9355 9418 9549 9804    8246 10415    45221 212
1000    9401    9401 9393    8924 9148 9273 9331  9455 9519 9650 9909    8327 10556    46217 214
1000    9501    9500 9490    9016 9245 9367 9430  9556 9620 9753 10010    8381 10704    47352 217
1000    9601    9601 9593    9117 9343 9467 9530  9658 9723 9856 10118    8490 10810    48359 219
